"No","DITA File Path","Document Type","Transformation Status","XSLT Pipeline Applied","Failed XSLT","Error Line","Error Description"
"62","output/Printer_Setup_UserGuide/refilling_ink/checking_ink_levels_mac.dita","TASK","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> task.xsl","","",""
"63","output/Printer_Setup_UserGuide/refilling_ink/checking_ink_levels_on_your_product.dita","CONCEPT","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> concept.xsl","","",""
"64","output/Printer_Setup_UserGuide/refilling_ink/checking_ink_levels_windows.dita","TASK","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> task.xsl","","",""
"65","output/Printer_Setup_UserGuide/refilling_ink/disabling_special_offers_with_windows.dita","TASK","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> task.xsl","","",""
"66","output/Printer_Setup_UserGuide/refilling_ink/ink_bottle_part_numbers.dita","REFERENCE","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> reference.xsl","","",""
"67","output/Printer_Setup_UserGuide/refilling_ink/ink_safety_precautions.dita","CONCEPT","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> concept.xsl","","",""
"68","output/Printer_Setup_UserGuide/refilling_ink/purchase_metr_ink.dita","CONCEPT","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> concept.xsl","","",""
"69","output/Printer_Setup_UserGuide/refilling_ink/refilling_ink.dita","CONCEPT","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> concept.xsl","","",""
"70","output/Printer_Setup_UserGuide/refilling_ink/refilling_the_ink_tanks.dita","TASK","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> task.xsl","","",""
"71","output/Printer_Setup_UserGuide/refilling_ink_map.ditamap","MAP","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> map.xsl","","",""
